Customer Id,Customer Fname,Customer Lname,Customer City,Customer State,Customer Country,Customer Segment,Customer Zipcode
1,Richard,Hernandez,Brownsville,TX,EE. UU.,Consumer,78521
2,Mary,Barrett,Littleton,CO,EE. UU.,Consumer,80126
3,Ann,Smith,Caguas,PR,Puerto Rico,Consumer,725
4,Mary,Jones,San Marcos,CA,EE. UU.,Consumer,92069
5,Robert,Hudson,Caguas,PR,Puerto Rico,Home Office,725
6,Mary,Smith,Passaic,NJ,EE. UU.,Consumer,7055
7,Melissa,Wilcox,Caguas,PR,Puerto Rico,Corporate,725
8,Megan,Smith,Lawrence,MA,EE. UU.,Corporate,1841
9,Mary,Perez,Caguas,PR,Puerto Rico,Consumer,725
10,Melissa,Smith,Stafford,VA,EE. UU.,Corporate,22554
11,Mary,Huffman,Caguas,PR,Puerto Rico,Consumer,725
12,Christopher,Smith,San Antonio,TX,EE. UU.,Corporate,78227
13,Mary,Baldwin,Caguas,PR,Puerto Rico,Home Office,725
14,Katherine,Smith,Pico Rivera,CA,EE. UU.,Corporate,90660
15,Jane,Luna,Fontana,CA,EE. UU.,Corporate,92336
16,Tiffany,Smith,Caguas,PR,Puerto Rico,Corporate,725
17,Mary,Robinson,Taylor,MI,EE. UU.,Consumer,48180
18,Robert,Smith,Martinez,CA,EE. UU.,Consumer,94553
19,Stephanie,Mitchell,Caguas,PR,Puerto Rico,Home Office,725
20,Mary,Ellis,West New York,NJ,EE. UU.,Consumer,7093
21,William,Zimmerman,Caguas,PR,Puerto Rico,Consumer,725
22,Joseph,Smith,North Bergen,NJ,EE. UU.,Corporate,7047
23,Benjamin,Duarte,San Juan,PR,Puerto Rico,Corporate,921
24,Mary,Smith,Caguas,PR,Puerto Rico,Home Office,725
25,Paul,Richardson,Peoria,AZ,EE. UU.,Home Office,85345
26,Johnny,Hood,Glenview,IL,EE. UU.,Consumer,60025
27,Mary,Vincent,Caguas,PR,Puerto Rico,Consumer,725
28,Timothy,Smith,Longview,WA,EE. UU.,Consumer,98632
29,Mary,Humphrey,Fort Worth,TX,EE. UU.,Consumer,76133
30,Barbara,Smith,Caguas,PR,Puerto Rico,Home Office,725
31,Mary,Byrd,Albuquerque,NM,EE. UU.,Consumer,87111
32,Alice,Smith,Caguas,PR,Puerto Rico,Corporate,725
33,Adam,Petersen,Norfolk,VA,EE. UU.,Consumer,23503
34,Mary,Smith,Caguas,PR,Puerto Rico,Corporate,725
35,Margaret,Wright,Oceanside,CA,EE. UU.,Consumer,92056
36,Michelle,Carey,Caguas,PR,Puerto Rico,Corporate,725
37,Virginia,Conrad,Norfolk,VA,EE. UU.,Consumer,23503
38,Mary,Smith,Opelousas,LA,EE. UU.,Consumer,70570
39,Juan,Mckinney,Caguas,PR,Puerto Rico,Consumer,725
40,Mary,Smith,Long Beach,CA,EE. UU.,Consumer,90805
41,Victoria,Mason,Brooklyn,NY,EE. UU.,Consumer,11230
42,Ethan,Smith,Duluth,GA,EE. UU.,Consumer,30096
43,Mary,Herring,Caguas,PR,Puerto Rico,Corporate,725
44,Howard,Smith,Napa,CA,EE. UU.,Corporate,94558
45,Mary,Nunez,Denver,CO,EE. UU.,Consumer,80231
46,Jennifer,Smith,Freeport,NY,EE. UU.,Consumer,11520
47,Lori,Fuller,Caguas,PR,Puerto Rico,Home Office,725
48,Mary,Cowan,Strongsville,OH,EE. UU.,Consumer,44136
49,Martha,Smith,Caguas,PR,Puerto Rico,Consumer,725
50,Mary,Kim,San Bernardino,CA,EE. UU.,Consumer,92410
51,Jessica,Smith,Caguas,PR,Puerto Rico,Home Office,725
52,Mary,Lawson,Chicago,IL,EE. UU.,Corporate,60622
53,Katherine,Smith,Roswell,GA,EE. UU.,Corporate,30075
54,Mary,Olson,Caguas,PR,Puerto Rico,Home Office,725
55,Janet,Farley,Phoenix,AZ,EE. UU.,Home Office,85029
56,Mary,Kaiser,Caguas,PR,Puerto Rico,Consumer,725
57,Mary,Smith,Baltimore,MD,EE. UU.,Consumer,21229
58,Michael,Edwards,Caguas,PR,Puerto Rico,Consumer,725
59,Douglas,James,Sunnyvale,CA,EE. UU.,Consumer,94086
60,Mary,Gutierrez,Webster,NY,EE. UU.,Home Office,14580
61,Margaret,Summers,Caguas,PR,Puerto Rico,Home Office,725
62,Mary,Oneal,Brooklyn,NY,EE. UU.,Consumer,11223
63,Aaron,Smith,Caguas,PR,Puerto Rico,Home Office,725
64,Mary,Reynolds,Chicago,IL,EE. UU.,Corporate,60647
65,Jennifer,Smith,Princeton,NJ,EE. UU.,Consumer,8540
66,Mary,Booth,Caguas,PR,Puerto Rico,Home Office,725
67,Samantha,Smith,Chicago,IL,EE. UU.,Corporate,60619
68,Mary,Oneal,Peoria,AZ,EE. UU.,Consumer,85345
69,Megan,Smith,Caguas,PR,Puerto Rico,Consumer,725
70,Mary,Simmons,Los Angeles,CA,EE. UU.,Corporate,90042
71,Charles,Smith,Philadelphia,PA,EE. UU.,Corporate,19145
72,Frank,Gillespie,Vista,CA,EE. UU.,Consumer,92084
73,Mary,Smith,Caguas,PR,Puerto Rico,Home Office,725
74,Alice,Rush,Jacksonville,NC,EE. UU.,Corporate,28540
75,Mary,Smith,Caguas,PR,Puerto Rico,Consumer,725
76,Joseph,Young,Los Angeles,CA,EE. UU.,Consumer,90016
77,Shirley,Dalton,Caguas,PR,Puerto Rico,Corporate,725
78,Jeremy,Smith,Parkville,MD,EE. UU.,Home Office,21234
79,Mary,Watkins,Knoxville,TN,EE. UU.,Consumer,37922
80,Joe,Parsons,Caguas,PR,Puerto Rico,Corporate,725
81,Mary,Smith,Ithaca,NY,EE. UU.,Home Office,14850
82,Jonathan,Cook,San Antonio,TX,EE. UU.,Consumer,78240
83,Mary,Wong,Caguas,PR,Puerto Rico,Corporate,725
84,Douglas,Smith,Tampa,FL,EE. UU.,Consumer,33624
85,Mary,Perez,Caguas,PR,Puerto Rico,Consumer,725
86,John,Smith,Fort Worth,TX,EE. UU.,Corporate,76106
87,Gloria,Brown,Caguas,PR,Puerto Rico,Corporate,725
88,Mary,Henry,Atlanta,GA,EE. UU.,Corporate,30318
89,Sean,Smith,Escondido,CA,EE. UU.,Consumer,92027
90,Mary,Hurley,Caguas,PR,Puerto Rico,Consumer,725
91,Ashley,Smith,Spring,TX,EE. UU.,Consumer,77379
92,Alexander,Medina,Caguas,PR,Puerto Rico,Home Office,725
93,Mary,Robbins,Annapolis,MD,EE. UU.,Corporate,21401
94,Mary,Smith,Caguas,PR,Puerto Rico,Corporate,725
95,Susan,Williams,Hyattsville,MD,EE. UU.,Corporate,20783
96,Virginia,Smith,Caguas,PR,Puerto Rico,Home Office,725
